date,time,A_B,A_C,A_D,B_A,B_C,B_D,C_A,C_B,C_D,D_A,D_B,D_C
0025-01-21,0,0,0.111111111111111,0.478260869565217,0.0625,0.5,0.65,0.111111111111111,0.0625,0.6875,0.347826086956522,0.05,0.8125
0026-01-21,1,0.25,0.555555555555556,0.434782608695652,0.4375,1,0.05,0,0.5625,0.5,0.434782608695652,0.2,0.0625
0027-01-21,2,1,0.5,0.782608695652174,0.4375,0.8125,0.7,0,0.875,0.1875,0.0434782608695652,0.15,0
0028-01-21,3,0.6875,0.944444444444444,0.956521739130435,0.75,0.4375,0.9,0.277777777777778,0.3125,0.875,0.869565217391304,0.75,0.125
0029-01-21,4,0.25,0.777777777777778,0.217391304347826,0.8125,0.75,0.6,0.5,0.5625,0.5625,0,0.3,0.25
0030-01-21,5,0.9375,0.611111111111111,0.347826086956522,0.9375,0,0.8,0.555555555555556,0.0625,0,1,0.15,0.4375
0031-01-21,6,0.1875,0.888888888888889,0.521739130434783,0.9375,0.5625,0.7,0.944444444444444,0.75,1,0.304347826086957,0.15,0.375
0001-02-21,7,0.9375,0.888888888888889,0.0869565217391304,0.5625,0.5625,0.75,0.166666666666667,0.0625,0.125,0.695652173913043,0.9,0.9375
0002-02-21,8,0.4375,0.944444444444444,0.434782608695652,0.5625,0.3125,0.05,0.0555555555555556,0.9375,0.625,0.869565217391304,0.45,0.1875
0003-02-21,9,0.875,0.888888888888889,0.391304347826087,0.875,1,0,0.222222222222222,0.1875,0.3125,0.434782608695652,0.35,0.5
0004-02-21,10,0.875,0.833333333333333,0.739130434782609,0.5625,0.375,0.9,0.333333333333333,0.0625,0.375,0,0.1,0.6875
0005-02-21,11,0.375,0.666666666666667,0.739130434782609,1,0.3125,0.2,0.277777777777778,0.25,1,0.565217391304348,0.05,0.25
0006-02-21,12,0.4375,1,0.869565217391304,0.9375,0.9375,0.3,0.944444444444444,0.1875,0.3125,0.304347826086957,0.65,0.125
0007-02-21,13,0.3125,0.333333333333333,0.173913043478261,0.625,0.1875,0.35,0.111111111111111,1,0.5625,0.260869565217391,0.6,0.125
0008-02-21,14,0,1,0.391304347826087,1,0.625,0.8,0.833333333333333,0.5625,0.5625,0.608695652173913,0.85,0.9375
0009-02-21,15,0.5625,0.611111111111111,0.391304347826087,0.5,0.1875,0.75,0.944444444444444,0.125,0.1875,0.0434782608695652,0.2,0.125
0010-02-21,16,0.25,0.833333333333333,0.0869565217391304,0.0625,0.375,0.45,0.0555555555555556,0.125,0.25,0.130434782608696,0.95,0.125
0011-02-21,17,0.5625,0.555555555555556,0.347826086956522,0.125,0.25,0.3,0.277777777777778,0.125,0.8125,0.217391304347826,0.5,0.5
0012-02-21,18,1,0.388888888888889,0.260869565217391,0.375,0.6875,0,0.388888888888889,1,0.4375,0.217391304347826,0.7,0.875
0013-02-21,19,0.3125,0.611111111111111,0.652173913043478,0.75,0.1875,0.55,0.888888888888889,0.125,0.3125,0.652173913043478,0.6,0.875
0014-02-21,20,1,0.111111111111111,0.434782608695652,0.3125,0.125,1,0,0.9375,0.75,0.173913043478261,0.4,0.125
0015-02-21,21,0,0.833333333333333,0.91304347826087,1,0.375,0.05,0.777777777777778,0.3125,0.1875,0.304347826086957,1,0.625
0016-02-21,22,1,0.666666666666667,0.652173913043478,0.5625,0.5,0.85,0.666666666666667,0.875,0.75,0,0.1,0.8125
0017-02-21,23,0,0.611111111111111,0.565217391304348,0.9375,0.75,0.9,0.444444444444444,0.1875,0.875,0.608695652173913,0.35,0.375
0018-02-21,0,0.8125,1,0.478260869565217,0.375,0.375,0.9,0.444444444444444,0.125,0.75,0.565217391304348,0.3,0.0625
0019-02-21,1,0.875,0.388888888888889,0.347826086956522,0.625,0.25,1,0.5,0.625,0.3125,1,0.7,0.1875
0020-02-21,2,0.25,0.944444444444444,1,0.0625,0.5625,1,0.388888888888889,1,0.625,0.434782608695652,0.05,0.4375
0021-02-21,3,0.125,0.444444444444444,0.347826086956522,0.8125,0.5,0.05,0.666666666666667,0.5,0.375,0.217391304347826,1,1
0022-02-21,4,0.5625,0.111111111111111,0.130434782608696,0.1875,0.5,0.85,0.777777777777778,0.25,0.375,0.478260869565217,0.85,0.3125
0023-02-21,5,0.4375,0.277777777777778,0.652173913043478,0.4375,0.0625,0.55,0.611111111111111,0.8125,0.5625,0.652173913043478,0.1,0.6875
0024-02-21,6,0.875,0.777777777777778,0.260869565217391,0.25,0.875,0.85,0.5,1,0.3125,0.0434782608695652,0.3,0.125
0025-02-21,7,0.5,0.222222222222222,0.0434782608695652,0.5,0.6875,0.2,0.0555555555555556,0.3125,0.9375,0.695652173913043,0.1,0.875
0026-02-21,8,0.6875,0.222222222222222,0,0.875,0.4375,0.65,0.388888888888889,0.75,0.6875,0.0434782608695652,0.5,0.5
0027-02-21,9,0.5625,0.388888888888889,0,0.4375,0.6875,0.9,0.277777777777778,0.5,0,0.391304347826087,0.55,0.125
0028-02-21,10,0.375,0.666666666666667,0.0434782608695652,0.75,0.5625,0.95,0.611111111111111,0.1875,0,1,0.75,0.0625
0001-03-21,11,0.125,0.888888888888889,0.782608695652174,1,0.375,0.3,0.333333333333333,1,0.125,0.652173913043478,0.15,0
0002-03-21,12,0.6875,0.333333333333333,0.869565217391304,0.8125,0,0.2,0.166666666666667,0.8125,0.25,0.304347826086957,0.6,0.5625
0003-03-21,13,0.375,0.5,0.391304347826087,0.125,0.625,0.45,0.166666666666667,0.5,0.8125,0.956521739130435,0.3,0.5625
0004-03-21,14,0.6875,0.777777777777778,0.434782608695652,0.0625,0.1875,0.95,0.722222222222222,0.5,0.25,0.260869565217391,0.95,0.4375
0005-03-21,15,0.9375,0.5,0.391304347826087,0.1875,0.375,0.15,0.555555555555556,0.9375,0.3125,0.91304347826087,0.1,0.125
0006-03-21,16,0.8125,0.277777777777778,0.217391304347826,0.8125,0.8125,0.95,0.111111111111111,0.0625,0.75,0.347826086956522,0.65,0.875
0007-03-21,17,0.25,1,0.91304347826087,0.25,0.75,0.85,0.888888888888889,0.375,0.875,0.347826086956522,0.55,0.3125
0008-03-21,18,0.5625,0.277777777777778,0.130434782608696,0.4375,0.875,0.1,0.888888888888889,0.5625,0.9375,0.739130434782609,0.35,0.25
0009-03-21,19,0.5625,0.0555555555555556,1,0.25,0,0.1,0.833333333333333,0.375,0.8125,0.434782608695652,0.7,0.6875
0010-03-21,20,0.0625,0.944444444444444,0.826086956521739,0.875,0.0625,0.45,0.722222222222222,0.5625,0.5625,0.347826086956522,1,0.25
0011-03-21,21,0.9375,0.888888888888889,0.695652173913043,0.9375,0.75,1,0.388888888888889,0.3125,0.375,0,0.4,0.5625
0012-03-21,22,0.0625,0.111111111111111,0.391304347826087,0.5625,0.0625,0.1,0.666666666666667,0.6875,0.8125,0.0434782608695652,0.45,0.875
0013-03-21,23,0.9375,0.277777777777778,0.304347826086957,1,0.5,0.65,0.388888888888889,0.6875,0.8125,1,0.6,1
0014-03-21,0,1,0.555555555555556,1,0.4375,0.3125,0.3,0.666666666666667,0.9375,0.8125,0.608695652173913,1,0.75
0015-03-21,1,0.75,0.333333333333333,0.695652173913043,0.875,0.875,0.1,0.111111111111111,0.1875,0.5,0.782608695652174,0.6,0.8125
0016-03-21,2,0.4375,0.222222222222222,0.0434782608695652,0.9375,0.625,0.35,0.222222222222222,0.0625,0.0625,0.434782608695652,0.4,0.8125
0017-03-21,3,0.6875,0.777777777777778,0.260869565217391,0.625,0.25,0.55,0.222222222222222,0,0.3125,0.782608695652174,0.9,0.625
0018-03-21,4,0.6875,0.888888888888889,0.869565217391304,0,0.625,0.15,0.5,0.125,0.4375,0.260869565217391,0.4,0.625
0019-03-21,5,1,0.444444444444444,0.521739130434783,0.375,0.875,0.45,0.888888888888889,0.9375,0.9375,0.391304347826087,0,0.5
0020-03-21,6,0.6875,0.722222222222222,0.478260869565217,0.125,0.5625,0.25,0.111111111111111,0.8125,0.25,0.695652173913043,0.85,0
0021-03-21,7,0.125,0.5,0.869565217391304,0.8125,1,0.4,0.333333333333333,0,0,0.347826086956522,0.25,0.3125
0022-03-21,8,1,0,1,1,0.8125,0.8,0.333333333333333,1,0.1875,0.652173913043478,0.55,0.6875
0023-03-21,9,0.9375,0.888888888888889,0.260869565217391,0.25,0.8125,0.75,0.388888888888889,0.25,0.0625,0.739130434782609,1,0.5
0024-03-21,10,0.3125,0.555555555555556,0.391304347826087,0.5,0.4375,0,0.611111111111111,0.3125,0.75,0.782608695652174,1,0.6875
0025-03-21,11,0.3125,0.388888888888889,0.347826086956522,0.3125,0.6875,0.6,0.222222222222222,0.25,0,0.956521739130435,0.55,0.375
0026-03-21,12,0.5625,0.444444444444444,0.347826086956522,0.8125,0.875,0.05,0,0,1,0.91304347826087,1,0.125
0027-03-21,13,0.875,0.166666666666667,0.695652173913043,0.4375,0.625,0.1,0.277777777777778,0.0625,0.4375,0.869565217391304,0,0.1875
0028-03-21,14,0.1875,0,0.391304347826087,0.625,0.125,0.7,0.722222222222222,0.9375,0.0625,0.91304347826087,0.85,1
0029-03-21,15,0,0.388888888888889,0.956521739130435,0.5625,0.75,0.15,0.722222222222222,0.1875,0.875,0.0434782608695652,1,0.75
0030-03-21,16,0.5625,0.333333333333333,0.434782608695652,0.6875,0.3125,0.05,0.111111111111111,0.375,0.6875,0.652173913043478,0.95,0.5
0031-03-21,17,0.4375,0.166666666666667,0.608695652173913,0.125,0.625,0.75,0.0555555555555556,0.9375,0.375,0.869565217391304,0.45,0.25
0001-04-21,18,0.625,0.277777777777778,0.739130434782609,0.125,0.25,0.7,0.444444444444444,1,0.25,0,0.75,0.3125
0002-04-21,19,0.5625,0.333333333333333,0.782608695652174,0.125,0.6875,0.25,0.444444444444444,0.4375,0.6875,0.652173913043478,0.4,0.8125
0003-04-21,20,0.125,0.277777777777778,0.304347826086957,0.125,0.75,0.55,0.5,0.1875,0.1875,0.565217391304348,0.7,0
0004-04-21,21,0.6875,0.388888888888889,0.521739130434783,0.5625,0.8125,0.8,0.444444444444444,0.1875,0.75,0.695652173913043,0.4,0.3125
0005-04-21,22,0.5,0.666666666666667,0.217391304347826,0.125,0.25,0.6,0.611111111111111,0.8125,0.3125,0.869565217391304,0.45,1
0006-04-21,23,0.0625,0.444444444444444,0.0869565217391304,1,0.625,0.05,0.333333333333333,0.875,0.4375,0,1,0.5
0007-04-21,0,0.75,1,0.478260869565217,0.1875,0.5625,0.05,0.0555555555555556,0.6875,0.8125,0.478260869565217,0.3,0.0625
0008-04-21,1,0.4375,0.444444444444444,0.304347826086957,0.625,0.875,0.95,0.222222222222222,0.0625,0.75,0.391304347826087,0.7,1
0009-04-21,2,0.1875,0,0.695652173913043,0.8125,0.1875,0.9,0.888888888888889,0.9375,0.9375,0.782608695652174,0.45,1
0010-04-21,3,0.625,0,0.173913043478261,0.1875,0.125,0.35,0.111111111111111,1,0.5,0.0869565217391304,0.75,0.375
0011-04-21,4,0,0.444444444444444,0.391304347826087,0,1,0.55,0.833333333333333,0.6875,0.1875,0.91304347826087,0,0.5625
0012-04-21,5,0.5625,0.166666666666667,0.869565217391304,0.125,0.4375,0.15,0.722222222222222,0.875,0.25,0.260869565217391,0.8,0.0625
0013-04-21,6,0.875,0.444444444444444,0.478260869565217,0.625,0.375,0.25,0.833333333333333,0,0.875,0.869565217391304,0.6,0.875
0014-04-21,7,0.8125,0.944444444444444,0.173913043478261,0.625,0.875,0.1,0.5,0.375,0.625,0.0869565217391304,0,0.4375
0015-04-21,8,1,0.277777777777778,0.869565217391304,0.0625,0.1875,0.15,0.944444444444444,0.6875,0.3125,0.826086956521739,0,0.4375
0016-04-21,9,0.5,0.944444444444444,0.0869565217391304,0.875,0.5,0.5,0.833333333333333,0.75,0.4375,0.956521739130435,0.8,0.25
0017-04-21,10,0.6875,0.611111111111111,0.260869565217391,0.1875,1,0.95,0.777777777777778,0.1875,0.5,0.260869565217391,0.65,0.1875
0018-04-21,11,0.5,0.333333333333333,0.608695652173913,0.75,0.625,0.85,0.777777777777778,0.375,0.25,0.304347826086957,0.75,0.25
0019-04-21,12,0.625,0.833333333333333,0.782608695652174,0,0.75,0.6,0.833333333333333,0.25,0.8125,0.739130434782609,0.05,0.6875
0020-04-21,13,0.8125,0.111111111111111,0.91304347826087,1,0.875,0.75,0,0.1875,0.125,0.260869565217391,0,0.6875
0021-04-21,14,0.5,0.333333333333333,0.565217391304348,0.375,0.875,0.55,0.555555555555556,0,0.625,0.0434782608695652,0.25,0.25
0022-04-21,15,0.1875,0,0.782608695652174,0.25,0.5625,0.2,0.5,0.9375,0,0.869565217391304,0.05,1
0023-04-21,16,1,0.0555555555555556,0.565217391304348,0.375,0.375,0.55,0.111111111111111,0.0625,0.8125,0.782608695652174,0.8,0.375
0024-04-21,17,0.375,0.611111111111111,0.695652173913043,0.25,0.1875,0.8,0.611111111111111,0.8125,0.375,0.739130434782609,0.05,0.6875
0025-04-21,18,0.9375,0.833333333333333,0.739130434782609,0.9375,0.8125,0.25,1,1,0.0625,0.478260869565217,0.25,0.75
0026-04-21,19,0.9375,0.222222222222222,1,0.375,0.5625,0.1,0.111111111111111,0.8125,0.8125,0.739130434782609,0.85,1
0027-04-21,20,0.625,0.944444444444444,0.91304347826087,0.375,1,0.15,0.277777777777778,0.4375,0.875,0.347826086956522,0.2,0.75
0028-04-21,21,0.8125,0.444444444444444,0.0434782608695652,0.625,0.125,0.75,0.944444444444444,0.625,0.25,0.608695652173913,0.95,0.125
0029-04-21,22,0.5,0.611111111111111,0,0.8125,0.9375,0.75,0.833333333333333,0.25,0.875,0.695652173913043,0.75,0.875
0030-04-21,23,0.625,0,0.0869565217391304,0.0625,0.25,0.05,0.222222222222222,0.375,0.4375,0.0434782608695652,0.5,0.4375
0001-05-21,0,0.0625,0.777777777777778,0.434782608695652,0.1875,0.9375,0,0.111111111111111,0.5,0.75,0.0434782608695652,0.75,0.9375
0002-05-21,1,0.875,0.0555555555555556,0.434782608695652,0.1875,0.875,0.15,0.0555555555555556,0.1875,0.25,0.652173913043478,0.65,0.6875
0003-05-21,2,0,0.166666666666667,0.608695652173913,0.5,0.0625,1,0.0555555555555556,0.0625,0.375,0.521739130434783,0.35,0.4375
0004-05-21,3,0,0.888888888888889,0.782608695652174,0,0.8125,0.55,0.111111111111111,0.625,0.9375,0.391304347826087,0.35,0.5
0005-05-21,4,1,0.0555555555555556,0.173913043478261,0.5,0.8125,1,0.944444444444444,0.125,0.8125,0.565217391304348,0.2,0.6875
0006-05-21,5,0.5,0.5,0.869565217391304,0,0.9375,0,0,0.3125,0.3125,0.347826086956522,0.3,0.75
0007-05-21,6,0.625,0.722222222222222,0.91304347826087,0.625,0.1875,0.85,0.222222222222222,0.1875,0.5,0.434782608695652,0.85,0.625
0008-05-21,7,0.5,0.5,0.608695652173913,0.1875,0,0.85,0.555555555555556,0.0625,0.4375,0.260869565217391,0.45,0.3125
0009-05-21,8,0.5,0.444444444444444,0.130434782608696,0.5,0.9375,0.25,0.444444444444444,0.5625,1,1,0.75,0.3125
0010-05-21,9,0.625,0,0.130434782608696,0.9375,0.5625,0.7,0.277777777777778,0.9375,0.25,0.304347826086957,0.1,0.0625
0011-05-21,10,0.25,0.777777777777778,0.260869565217391,0.6875,0.875,0.3,0.833333333333333,0.875,0.0625,0.0869565217391304,0.4,0.5625
0012-05-21,11,0.25,0.722222222222222,0.391304347826087,0.5625,0.8125,0.8,0.333333333333333,0.625,0.625,0.869565217391304,0.95,0.6875
0013-05-21,12,1,0.722222222222222,0.91304347826087,0.0625,0.4375,0.5,0.166666666666667,0.5625,0.5625,0.565217391304348,0.3,0.375
0014-05-21,13,0.6875,0.166666666666667,0.608695652173913,0.625,0.4375,0.65,0.222222222222222,0.6875,0.1875,0.478260869565217,0.95,0.75
0015-05-21,14,0.6875,0,0.173913043478261,0.8125,0.6875,0.15,0.555555555555556,0.9375,0.4375,0.478260869565217,0.1,0.75
0016-05-21,15,0.6875,0.166666666666667,0.0869565217391304,0.6875,0.1875,0.4,0.111111111111111,0.5,0.1875,0.652173913043478,0,0.25
0017-05-21,16,0.375,0.444444444444444,0.217391304347826,0.875,0.25,0.4,0.166666666666667,0.375,0.8125,0,0.65,0.5625
0018-05-21,17,0.375,0.222222222222222,0.608695652173913,0.9375,0.625,0.95,1,0.625,0.0625,0.173913043478261,0.85,0.25
0019-05-21,18,1,0.777777777777778,0.304347826086957,0.3125,0.3125,0.5,0.444444444444444,0.25,0.1875,0.91304347826087,0.85,0.25
0020-05-21,19,0.8125,0.722222222222222,0.478260869565217,0.5625,0.1875,0.7,0.0555555555555556,0.8125,0.5,0.782608695652174,0.2,0.5625
0021-05-21,20,0.1875,0.333333333333333,0.391304347826087,0.5625,0.25,0,0.666666666666667,0.4375,0.125,0.956521739130435,0.85,0.1875
0022-05-21,21,0.75,0.444444444444444,0.347826086956522,0.0625,0.8125,0.9,0.166666666666667,0.0625,0.25,1,0.3,1
0023-05-21,22,1,0.388888888888889,1,0.6875,0.3125,0.4,1,0.9375,0.625,0.652173913043478,0.15,0.4375
0024-05-21,23,0.1875,0.944444444444444,0.347826086956522,0.3125,0.5,0.15,0.444444444444444,0.6875,0.4375,0.826086956521739,1,0.5625
0025-05-21,0,0.875,0.833333333333333,0.434782608695652,0.5,0.375,0.75,0.888888888888889,0.125,0.3125,0.739130434782609,1,0.375
0026-05-21,1,0.5,0.777777777777778,0.391304347826087,0.3125,0.375,0.15,0.388888888888889,0.875,0.5625,0.91304347826087,0.6,0.5
0027-05-21,2,0.5625,0.555555555555556,0.130434782608696,0.75,0.5,1,0.111111111111111,0.1875,0.875,1,0.85,0.0625
0028-05-21,3,0.9375,0.944444444444444,0.0869565217391304,0.0625,0.8125,0.8,0.166666666666667,0.875,0.375,0.739130434782609,0.8,0.75
0029-05-21,4,0.5,0.333333333333333,0.478260869565217,0.375,0.5625,0.5,0.111111111111111,0.9375,0.3125,0.130434782608696,0.6,0.875
0030-05-21,5,0.1875,0.277777777777778,0.956521739130435,0.0625,0.0625,0.15,0.944444444444444,1,0.9375,0.391304347826087,0.2,0.125
0031-05-21,6,0.5,0.833333333333333,0.695652173913043,0.3125,0.8125,0.35,0.722222222222222,1,1,0.826086956521739,0.55,0.0625
0001-06-21,7,0.5,0.611111111111111,0.739130434782609,0.75,0.0625,1,0.333333333333333,0.75,0.1875,0.173913043478261,0.5,0.625
0002-06-21,8,0.875,0.222222222222222,0.695652173913043,0.625,0.3125,0.85,0.5,0.1875,0.25,0.0869565217391304,0.75,0.3125
0003-06-21,9,0.875,0.555555555555556,0.956521739130435,0.375,0.375,0.45,0.0555555555555556,0,0.6875,0.260869565217391,0.75,1
0004-06-21,10,0.125,0.888888888888889,0.91304347826087,0.0625,0.625,0.65,0.166666666666667,0.1875,0.375,0.956521739130435,0.9,0.0625
0005-06-21,11,0,0.333333333333333,0.739130434782609,0,0.1875,0.6,0.944444444444444,1,0.4375,0.130434782608696,0.3,0.5625
0006-06-21,12,0.5625,0.722222222222222,0.652173913043478,0.5,0.5,0.65,0.5,0.375,0.5,0.739130434782609,0.75,0.875
0007-06-21,13,0.125,0,0.478260869565217,1,0.875,0.5,0.666666666666667,0.375,0.0625,0,0.9,0.3125
0008-06-21,14,0.25,1,0.304347826086957,1,0.1875,0.6,0.333333333333333,0,0.1875,0,0.3,0.125
0009-06-21,15,0.375,0.0555555555555556,0.391304347826087,1,0,0.7,0.0555555555555556,0.5,0.125,0.826086956521739,0.8,1
0010-06-21,16,0,0.833333333333333,0.695652173913043,0.125,0,0.6,0.222222222222222,1,0.75,0.652173913043478,0.3,0.4375
0011-06-21,17,0.25,0.555555555555556,0.478260869565217,0.875,0.6875,0.95,0,0.8125,0.375,0.695652173913043,0.35,0.9375
0012-06-21,18,0.375,0.944444444444444,0.826086956521739,0.4375,0.75,0.4,0.555555555555556,0,0.75,0.91304347826087,0.35,0.1875
0013-06-21,19,0,0.222222222222222,0.565217391304348,0.5625,0.3125,0.4,0.388888888888889,0.6875,0.0625,0.782608695652174,0.05,0.75
0014-06-21,20,0.1875,0.833333333333333,0.91304347826087,0.6875,0.75,0.3,0.833333333333333,0.9375,0.875,0.217391304347826,0.5,0.1875
0015-06-21,21,0.125,0.888888888888889,0.391304347826087,0.6875,0.375,0,0.777777777777778,0.8125,0.4375,0.0434782608695652,0.15,0.5
0016-06-21,22,0.875,0.0555555555555556,0.826086956521739,0.0625,0,0.6,0.611111111111111,0.875,0.4375,0.478260869565217,0.3,0.6875
0017-06-21,23,0.125,0.611111111111111,0.956521739130435,0.25,0.625,0.8,1,0.75,0.4375,0.652173913043478,0.55,0.625
0018-06-21,0,0.625,0.888888888888889,0.130434782608696,0.625,0.6875,0,0,0.5625,0.75,0.478260869565217,0.6,0.625
0019-06-21,1,0,1,0.0434782608695652,0.3125,0.125,0.25,0.0555555555555556,0.6875,0.1875,0.521739130434783,0.25,0.25
0020-06-21,2,0.125,0.722222222222222,0.826086956521739,0.125,0.1875,0.3,0.833333333333333,0,0.625,0.739130434782609,0.3,0.125
0021-06-21,3,0.625,0.444444444444444,0.173913043478261,0.375,0.9375,0.45,0.388888888888889,0,0,0.565217391304348,0.65,0.9375
0022-06-21,4,0.0625,0.388888888888889,0.608695652173913,0.3125,0.25,0.75,0.833333333333333,0.5,0.9375,0.782608695652174,0.6,0.6875
0023-06-21,5,0.5,0.333333333333333,0.869565217391304,0.0625,0.5,0.7,0.5,0.9375,0.875,1,0.2,0.125
0024-06-21,6,0.6875,0.555555555555556,0.608695652173913,0.625,0.6875,0.8,0.888888888888889,0.125,0.125,0.869565217391304,0.25,0.875
0025-06-21,7,0.75,0.111111111111111,0.956521739130435,0.5,0.1875,0.2,0.611111111111111,0.9375,1,0.130434782608696,0.95,0
0026-06-21,8,0.375,0.222222222222222,0.956521739130435,0.125,0.6875,0.05,1,0.25,0.6875,0.304347826086957,0.7,0.875
0027-06-21,9,0.3125,0,0.260869565217391,0.9375,0.25,0.35,0.5,0.4375,0.4375,0.782608695652174,0.25,0.0625
0028-06-21,10,0.0625,0.611111111111111,0.869565217391304,0.125,0.5,0.5,0.611111111111111,0.875,0.625,0.217391304347826,0.7,1
0029-06-21,11,0.25,0.888888888888889,0.0869565217391304,0.8125,0.125,0.8,0.944444444444444,0.0625,0.4375,0.0434782608695652,0.2,0.3125
0030-06-21,12,0.8125,0.722222222222222,0.260869565217391,0.5,0.625,0.6,0.888888888888889,0.4375,0.875,0.565217391304348,0.9,0.9375
0001-07-21,13,0.5625,0.0555555555555556,0.0869565217391304,0.0625,0,0.9,0.5,1,0.9375,0.347826086956522,0.65,0.875
0002-07-21,14,1,0.888888888888889,0.347826086956522,0.0625,0.8125,0.6,0.388888888888889,0.3125,0.8125,0.347826086956522,0.5,0.625
0003-07-21,15,0.5625,0.888888888888889,0.347826086956522,0.5,0.875,0.05,0.388888888888889,0.0625,0.25,0.434782608695652,0.3,0.25
0004-07-21,16,0.25,1,0.869565217391304,0.125,0.9375,0.25,0.388888888888889,0.75,0.75,1,0.3,0.4375
0005-07-21,17,0.1875,0.333333333333333,0.565217391304348,0.5,0.25,0.65,0.888888888888889,0.375,0,0.217391304347826,0.75,0.6875
0006-07-21,18,0,0.388888888888889,0.391304347826087,0.0625,0.4375,0.4,0.833333333333333,0.125,0.1875,0.565217391304348,0,0.8125
0007-07-21,19,0.3125,0.444444444444444,0.608695652173913,0.5,0.1875,0.85,0.611111111111111,0.75,0.1875,0.347826086956522,0.85,0.4375
0008-07-21,20,0.875,1,0.652173913043478,1,0.5625,0.15,0.944444444444444,0.1875,0.625,0,0.7,1
0009-07-21,21,0.75,0.444444444444444,0.782608695652174,0,0.9375,0.55,0.388888888888889,0,0.25,0.0434782608695652,0.5,0.375
0010-07-21,22,0.9375,0.944444444444444,0.91304347826087,0.0625,0.9375,0.45,0.111111111111111,0.0625,0.5625,0.652173913043478,0.65,0.6875
0011-07-21,23,0,0.111111111111111,0.304347826086957,0.25,0.3125,0.4,0.833333333333333,0.625,0.125,0.173913043478261,0.25,0.3125
0012-07-21,0,0.25,0.777777777777778,0.478260869565217,0.375,0.8125,0.3,0.611111111111111,0.4375,0.3125,0.304347826086957,1,1
